1,Apple,Elma,I eat an apple.,word_imgs/1.webp
2,Car,Araba,I buy a car.,word_imgs/2.webp
3,Sun,Güneş,The sun is too far.,word_imgs/3.webp
4,Tree,Ağaç,I have a cheery tree.,word_imgs/4.webp
5,House,Ev,My house colour is red.,word_imgs/5.webp
6,Heart,Kalp,He have a heart attack.,word_imgs/6.webp
7,Star,Yıldız,The star light is so beautiful.,word_imgs/7.webp
8,Clock,Saat,My clock set up to 8 o'clock.,word_imgs/8.webp
9,Key,Anahtar,I forgot my keys!!.,word_imgs/9.webp
10,Money,Para,How much money?.,word_imgs/10.webp
11,Map,Harita,The game map is so small.,word_imgs/11.webp
12,Ball,Top,He hit the boll.,word_imgs/12.webp
13,Rainbow,Gökkuşağı,Rainbow is have 7 colour.,word_imgs/13.webp
14,Smile,Gülümseme,Child is have a big smile.,word_imgs/14.webp
15,Book,Kitap,I love the books.,word_imgs/15.webp
16,Shoes,Ayakkabı,Your shoes are so colourfull.,word_imgs/16.webp
17,Gift,Hediye,I have a gift for you.,word_imgs/17.webp
18,Chair,Sandalye,She sit the chair.,word_imgs/18.webp
19,Flag,Bayrak,Flag is waving.,word_imgs/19.webp
20,Cloud,Bulut,This thunder clouds.,word_imgs/20.webp